orderid,customerid,storeid,orderdate
998,1462,58,9/24/2017
999,1803,54,9/1/2018
1000,1922,67,3/18/2018
1003,1042,72,3/26/2018
1002,1476,79,9/27/2017
1001,1528,14,2/11/2018
1004,1466,16,8/29/2018
1005,1726,36,2/19/2018
1006,1945,70,12/14/2017
1007,1699,45,2/27/2018
1008,1994,45,2/23/2018
1009,1807,39,8/21/2018
1010,1336,17,10/25/2017
1011,1073,90,10/10/2017
1012,1685,42,9/29/2017
1013,1158,88,2/9/2018
1014,1002,86,7/19/2018
1015,1066,17,10/27/2017
1016,1881,74,7/26/2018
1017,1094,17,3/7/2018
1018,1627,11,3/31/2018
1019,1661,21,11/2/2017
1020,1878,45,8/13/2018
1021,1108,7,2/26/2018
1022,1321,88,8/19/2018
1023,1700,34,4/26/2018
1024,1441,23,9/7/2018
1025,1284,20,1/10/2018
1026,1860,91,3/26/2018
1027,1512,25,2/19/2018
1028,1624,82,4/30/2018
1029,1043,22,3/6/2018
1030,1622,3,1/15/2018
1031,1964,36,5/22/2018
1032,1322,38,6/19/2018
1033,1232,3,11/14/2017
1034,1258,7,2/26/2018
1035,1661,75,10/17/2017
1036,1895,72,11/28/2017
1037,1178,62,2/6/2018
1038,1914,35,1/1/2018
1039,1972,95,3/21/2018
1040,1725,92,5/10/2018
1041,1396,59,9/2/2018
1042,1898,38,7/10/2018
1043,1087,9,5/18/2018
1044,1019,77,1/30/2018
1045,1211,66,9/20/2017
1046,1070,54,6/26/2018
1047,1176,99,3/21/2018
1048,1835,62,8/21/2018
1049,1253,11,12/16/2017
1050,1193,21,12/3/2017
1051,1304,82,3/7/2018
1052,1412,56,5/6/2018
1053,1088,3,9/6/2018
1054,1900,2,10/15/2017
1055,1974,30,2/23/2018
1056,1752,55,11/18/2017
1057,1101,12,1/28/2018
1058,1833,75,2/14/2018
1059,1612,48,2/15/2018
1060,1969,63,3/15/2018
1061,1533,8,12/3/2017
1062,1962,7,9/16/2017
1063,1008,14,7/25/2018
1064,1656,30,4/20/2018
1065,1390,57,12/21/2017
1066,1217,6,3/1/2018
1067,1620,98,11/1/2017
1068,1546,7,9/1/2018
1069,1536,6,7/18/2018
1070,1455,93,6/26/2018
1071,1677,59,9/8/2018
1072,1892,48,5/21/2018
1073,1208,91,10/23/2017
1074,1038,87,8/28/2018
1075,1184,13,7/14/2018
1076,1290,57,9/11/2017
1077,1328,35,7/23/2018
1078,1776,47,2/6/2018
1079,1978,34,4/3/2018
1080,1585,26,6/25/2018
1081,1265,60,12/7/2017
1082,1653,83,10/21/2017
1083,1291,71,6/25/2018
1084,1965,64,3/8/2018
1085,1919,80,11/25/2017
1086,1195,66,9/4/2018
1087,1316,89,10/15/2017
1088,1315,8,7/27/2018
1089,1241,41,11/23/2017
1090,1135,85,8/17/2018
1091,1059,63,11/29/2017
1092,1813,50,8/17/2018
1093,1512,79,5/19/2018
1094,1972,4,2/6/2018
1095,1621,19,8/5/2018
1096,1112,19,10/14/2017
1097,1540,96,11/2/2017
1098,1325,18,10/16/2017
1099,1346,54,1/7/2018
1100,1207,71,8/28/2018
1101,1396,8,12/20/2017
1102,1934,82,6/9/2018
1103,1845,11,11/25/2017
1104,1136,77,4/21/2018
1105,1069,98,12/25/2017
1106,1076,70,6/4/2018
1107,1845,15,6/7/2018
1108,1479,95,2/21/2018
1109,1590,11,11/10/2017
1110,1121,54,2/18/2018
1111,1737,52,6/7/2018
1112,1800,43,8/26/2018
1113,1776,90,4/27/2018
1114,1096,73,8/13/2018
1115,1518,32,10/5/2017
1116,1925,63,9/25/2017
1117,1203,6,11/4/2017
1118,1513,47,7/3/2018
1119,1301,5,4/14/2018
1120,1669,20,12/10/2017
1121,1821,67,11/3/2017
1122,1915,92,10/3/2017
1123,1801,62,3/9/2018
1124,1675,28,12/27/2017
1125,1866,19,5/26/2018
1126,1692,43,5/13/2018
1127,1128,47,7/16/2018
1128,1886,24,4/11/2018
1129,1643,90,12/4/2017
1130,1735,7,1/15/2018
1131,1217,48,7/24/2018
1132,1053,8,3/10/2018
1133,1729,49,11/23/2017
1134,1972,100,9/5/2018
1135,1528,63,4/6/2018
1136,1579,87,1/14/2018
1137,1980,39,7/20/2018
1138,1705,71,10/7/2017
1139,1998,10,7/9/2018
1140,1731,40,1/16/2018
1141,1985,10,11/11/2017
1142,1418,75,7/2/2018
1143,1754,49,3/15/2018
1144,1398,11,5/22/2018
1145,1685,31,3/9/2018
1146,1330,69,5/11/2018
1147,1866,99,9/5/2018
1148,1647,25,8/3/2018
1149,1933,77,12/17/2017
1150,1076,86,9/12/2017
1151,1824,24,2/26/2018
1152,1278,45,8/2/2018
1153,1474,42,12/7/2017
1154,1371,4,5/29/2018
1155,1162,45,2/24/2018
1156,1748,74,7/20/2018
1157,1527,42,8/30/2018
1158,1907,91,5/16/2018
1159,1481,33,10/6/2017
1160,1160,51,1/24/2018
1161,1607,20,3/26/2018
1162,1323,22,4/27/2018
1163,1718,46,8/30/2018
1164,1772,25,10/28/2017
1165,1178,66,8/18/2018
1166,1091,7,12/29/2017
1167,1500,93,4/6/2018
1168,1113,65,8/27/2018
1169,1602,85,10/19/2017
1170,1266,90,5/24/2018
1171,1644,48,7/1/2018
1172,1388,30,4/26/2018
1173,1171,85,5/9/2018
1174,1627,100,1/3/2018
1175,1805,46,3/16/2018
1176,1836,17,1/26/2018
1177,1379,35,12/24/2017
1178,1687,41,11/6/2017
1179,1613,30,10/27/2017
1180,1217,98,9/13/2017
1181,1692,26,11/28/2017
1182,1195,53,3/26/2018
1183,1164,74,6/27/2018
1184,1701,68,9/21/2017
1185,1747,58,7/16/2018
1186,1822,27,3/17/2018
1187,1498,52,9/15/2017
1188,1376,73,7/6/2018
1189,1318,32,7/17/2018
1190,1392,57,6/12/2018
1191,1258,8,9/1/2018
1192,1400,53,8/24/2018
1193,1882,47,2/18/2018
1194,1408,49,3/29/2018
1195,1655,2,7/3/2018
1196,1392,7,12/8/2017
1197,1625,23,5/18/2018
1198,1291,59,11/3/2017
1199,1664,88,8/18/2018
1200,1280,30,10/24/2017
1201,1826,53,1/13/2018
1202,1255,65,9/25/2017
1203,1681,1,11/7/2017
1204,1412,66,10/29/2017
1205,1113,31,3/4/2018
1206,1606,26,12/31/2017
1207,1072,62,7/19/2018
1208,1140,29,4/16/2018
1209,1065,93,2/1/2018
1210,1542,39,1/11/2018
1211,1113,42,5/25/2018
1212,1410,37,11/5/2017
1213,1984,64,11/10/2017
1214,1382,25,8/10/2018
1215,1876,95,3/29/2018
1216,1753,84,8/30/2018
1217,1652,73,4/11/2018
1218,1987,44,11/10/2017
1219,1621,74,5/4/2018
1220,1983,21,12/24/2017
1221,1295,76,9/8/2018
1222,1864,96,12/16/2017
1223,1483,12,7/15/2018
1224,1736,44,10/28/2017
1225,1433,22,12/3/2017
1226,1458,85,4/5/2018
1227,1569,80,6/28/2018
1228,1937,90,1/19/2018
1229,1643,1,1/23/2018
1230,1881,56,9/5/2018
1231,1943,38,7/29/2018
1232,1329,26,8/29/2018
1233,1562,62,3/2/2018
1234,1721,2,5/1/2018
1235,1519,32,7/26/2018
1236,1155,64,4/23/2018
1237,1754,77,10/22/2017
1238,1422,70,1/7/2018
1239,1123,56,9/19/2017
1240,1469,74,1/13/2018
1241,1602,58,8/17/2018
1242,1196,16,1/2/2018
1243,1471,70,1/31/2018
1244,1116,7,1/9/2018
1245,1603,33,7/17/2018
1246,1471,77,1/30/2018
1247,1364,86,6/12/2018
1248,1495,5,9/14/2017
1249,1976,33,12/17/2017
1250,1699,1,4/16/2018
1251,1092,30,6/13/2018
1252,1679,19,6/9/2018
1253,1839,36,12/20/2017
1254,1200,73,7/14/2018
1255,1693,25,4/11/2018
1256,1984,56,5/16/2018
1257,1192,85,9/6/2018
1258,1663,74,8/30/2018
1259,1361,21,7/17/2018
1260,1930,91,2/10/2018
1261,1033,10,5/16/2018
1262,1722,48,2/23/2018
1263,1275,51,5/30/2018
1264,1376,46,3/31/2018
1265,1205,57,12/22/2017
1266,1849,24,4/7/2018
1267,1276,97,5/8/2018
1268,1066,40,8/28/2018
1269,1183,94,10/23/2017
1270,1558,23,12/9/2017
1271,1200,77,2/17/2018
1272,1566,83,7/19/2018
1273,1138,38,2/21/2018
1274,1909,96,4/13/2018
1275,1618,44,5/27/2018
1276,1007,63,6/13/2018
1277,1643,74,10/29/2017
1278,1074,35,1/8/2018
1279,1475,32,1/27/2018
1280,1326,11,5/23/2018
1281,1714,30,6/16/2018
1282,1255,40,6/9/2018
1283,1179,83,3/29/2018
1284,1104,4,10/25/2017
1285,1195,55,3/28/2018
1286,1353,24,9/1/2018
1287,1143,48,4/8/2018
1288,1575,45,3/24/2018
1289,1535,30,8/8/2018
1290,1493,50,3/23/2018
1291,1882,66,12/9/2017
1292,1425,19,2/26/2018
1293,1723,32,12/17/2017
1294,1246,84,11/18/2017
1295,1467,100,10/17/2017
1296,1669,83,9/18/2017
1297,1706,41,1/11/2018
1298,1608,79,11/28/2017
1299,1920,11,11/11/2017
1300,1748,92,8/10/2018
1301,1612,94,11/22/2017
1302,1754,47,11/6/2017
1303,1686,73,10/31/2017
1304,1452,20,11/6/2017
1305,1537,75,5/21/2018
1306,1527,31,11/18/2017
1307,1278,46,11/17/2017
1308,1487,89,3/30/2018
1309,1360,97,6/8/2018
1310,1703,29,12/26/2017
1311,1467,58,11/10/2017
1312,1172,48,8/27/2018
1313,1165,88,4/4/2018
1314,1336,97,2/6/2018
1315,1650,23,8/18/2018
1316,1252,25,5/20/2018
1317,1516,35,12/6/2017
1318,1737,86,2/1/2018
1319,1602,94,7/18/2018
1320,1676,10,4/12/2018
1321,1538,97,5/12/2018
1322,1912,83,11/15/2017
1323,1262,3,12/20/2017
1324,1400,29,4/11/2018
1325,1819,22,12/3/2017
1326,1126,13,5/30/2018
1327,1233,39,3/10/2018
1328,1449,38,2/9/2018
1329,1823,50,3/24/2018
1330,1967,30,7/5/2018
1331,1960,93,5/23/2018
1332,1811,26,4/29/2018
1333,1952,22,11/30/2017
1334,1037,50,10/27/2017
1335,1869,52,12/13/2017
1336,1262,6,4/9/2018
1337,1562,60,12/14/2017
1338,1935,46,10/23/2017
1339,1406,68,8/2/2018
1340,1945,26,4/4/2018
1341,1490,47,9/27/2017
1342,1989,97,4/9/2018
1343,1378,34,11/15/2017
1344,1607,45,8/15/2018
1345,1542,54,12/25/2017
1346,1268,40,2/21/2018
1347,1326,75,11/22/2017
1348,1961,36,11/26/2017
1349,1784,53,4/10/2018
1350,1217,33,12/29/2017
1351,1036,29,11/4/2017
1352,1147,27,4/18/2018
1353,1788,10,10/10/2017
1354,1979,39,9/9/2018
1355,1777,42,7/17/2018
1356,1267,97,10/20/2017
1357,1963,70,5/23/2018
1358,1347,69,4/19/2018
1359,1500,34,8/11/2018
1360,1092,62,9/22/2017
1361,1836,77,7/5/2018
1362,1832,1,4/11/2018
1363,1561,64,6/26/2018
1364,1027,5,12/11/2017
1365,1230,20,1/31/2018
1366,1363,82,2/11/2018
1367,1024,75,3/5/2018
1368,1271,14,3/21/2018
1369,1971,26,11/30/2017
1370,1910,1,3/27/2018
1371,1470,61,1/6/2018
1372,1828,11,7/12/2018
1373,1844,30,10/6/2017
1374,1959,40,4/5/2018
1375,1134,16,6/26/2018
1376,1384,31,1/28/2018
1377,1192,41,9/7/2018
1378,1205,10,6/12/2018
1379,1353,81,7/24/2018
1380,1646,28,3/18/2018
1381,1115,80,4/11/2018
1382,1026,25,11/11/2017
1383,1273,19,11/14/2017
1384,1841,39,12/15/2017
1385,1595,89,6/6/2018
1386,1012,82,1/15/2018
1387,1884,23,7/25/2018
1388,1690,96,1/4/2018
1389,1578,99,5/3/2018
1390,1076,14,8/21/2018
1391,1858,20,7/5/2018
1392,1026,12,7/14/2018
1393,1530,75,10/31/2017
1394,1566,58,1/7/2018
1395,1520,61,1/31/2018
1396,1629,66,11/11/2017
1397,1460,55,11/13/2017
1398,1352,58,6/7/2018
1399,1083,82,10/31/2017
1400,1300,76,7/23/2018
1401,1804,3,8/18/2018
1402,1579,49,7/6/2018
1403,1784,92,9/13/2017
1404,1836,43,5/18/2018
1405,1374,26,9/4/2018
1406,1882,41,12/2/2017
1407,1987,31,10/9/2017
1408,1917,95,11/9/2017
1409,1627,14,1/21/2018
1410,1586,89,8/10/2018
1411,1503,13,1/6/2018
1412,1966,66,3/6/2018
1413,1816,42,7/16/2018
1414,1782,46,7/29/2018
1415,1034,8,1/20/2018
1416,1268,95,5/27/2018
1417,1514,78,3/20/2018
1418,1309,49,8/27/2018
1419,1760,14,8/9/2018
1420,1612,79,11/27/2017
1421,1239,1,3/7/2018
1422,1351,84,2/15/2018
1423,1293,70,9/17/2017
1424,1613,91,5/19/2018
1425,1319,57,1/20/2018
1426,1162,73,1/19/2018
1427,1342,30,2/7/2018
1428,1597,90,5/15/2018
1429,1730,76,7/12/2018
1430,1862,35,3/2/2018
1431,1780,66,10/25/2017
1432,1497,16,12/11/2017
1433,1442,47,5/6/2018
1434,1984,28,11/29/2017
1435,1836,88,11/2/2017
1436,1529,85,5/22/2018
1437,1386,78,8/5/2018
1438,1068,68,8/6/2018
1439,1178,40,1/3/2018
1440,1219,84,2/16/2018
1441,1630,35,3/3/2018
1442,1789,54,9/27/2017
1443,1995,68,8/28/2018
1444,1322,22,11/28/2017
1445,1935,70,3/2/2018
1446,1244,46,4/3/2018
1447,1472,70,5/24/2018
1448,1603,29,3/20/2018
1449,1150,90,4/22/2018
1450,1531,67,11/18/2017
1451,1482,75,4/23/2018
1452,1087,29,2/7/2018
1453,1334,56,9/30/2017
1454,1365,14,7/27/2018
1455,1489,87,12/16/2017
1456,1288,65,9/30/2017
1457,1685,26,9/14/2017
1458,1438,94,4/5/2018
1459,1054,75,2/21/2018
1460,1578,87,8/27/2018
1461,1391,69,10/2/2017
1462,1775,38,11/6/2017
1463,1717,4,10/8/2017
1464,1100,74,3/8/2018
1465,1008,19,3/26/2018
1466,1012,12,2/7/2018
1467,1677,88,6/15/2018
1468,1029,37,2/23/2018
1469,1094,26,5/8/2018
1470,1005,70,5/23/2018
1471,1729,49,11/20/2017
1472,1503,17,6/12/2018
1473,1687,56,1/12/2018
1474,1503,58,4/30/2018
1475,1628,95,5/16/2018
1476,1920,75,1/20/2018
1477,1369,87,2/18/2018
1478,1029,76,9/23/2017
1479,1682,24,5/4/2018
1480,1920,28,9/28/2017
1481,1926,65,8/5/2018
1482,1973,8,8/26/2018
1483,1689,21,11/29/2017
1484,1310,32,2/5/2018
1485,1456,23,12/5/2017
1486,1990,52,4/21/2018
1487,1841,74,8/11/2018
1488,1509,65,1/21/2018
1489,1663,82,9/18/2017
1490,1442,65,3/21/2018
1491,1484,39,9/6/2018
1492,1679,26,7/4/2018
1493,1929,61,9/6/2018
1494,1735,8,10/11/2017
1495,1661,43,6/30/2018
1496,1380,48,8/26/2018
1497,1142,90,6/14/2018
1498,1840,78,4/1/2018
1499,1912,6,11/25/2017
1500,1100,16,8/14/2018
1501,1185,97,7/30/2018
1502,1886,86,4/15/2018
1503,1769,15,3/15/2018
1504,1709,51,4/12/2018
1505,1406,44,6/21/2018
1506,1070,94,2/18/2018
1507,1959,10,3/13/2018
1508,1412,49,4/12/2018
1509,1553,93,6/20/2018
1510,1144,1,9/22/2017
1511,1264,66,12/20/2017
1512,1827,56,11/24/2017
1513,1692,44,7/15/2018
1514,1247,78,10/31/2017
1515,1649,92,2/9/2018
1516,1562,67,1/9/2018
1517,1565,30,11/23/2017
1518,1501,85,6/20/2018
1519,1637,46,7/11/2018
1520,1548,54,5/30/2018
1521,1035,35,6/15/2018
1522,1491,16,3/31/2018
1523,1256,36,4/10/2018
1524,1320,98,5/25/2018
1525,1353,82,10/25/2017
1526,1789,67,8/17/2018
1527,1079,18,4/20/2018
1528,1180,22,1/2/2018
1529,1137,31,8/21/2018
1530,1627,40,5/28/2018
1531,1971,81,11/1/2017
1532,1690,65,3/7/2018
1533,1147,75,10/23/2017
1534,1794,72,5/14/2018
1535,1898,90,2/14/2018
1536,1606,37,7/3/2018
1537,1782,65,5/9/2018
1538,1735,71,3/21/2018
1539,1982,74,1/16/2018
1540,1797,41,12/13/2017
1541,1375,63,8/17/2018
1542,1815,57,6/17/2018
1543,1036,71,2/26/2018
1544,1236,55,1/2/2018
1545,1667,45,1/12/2018
1546,1633,57,7/6/2018
1547,1131,34,2/7/2018
1548,1321,59,12/10/2017
1549,1377,44,5/4/2018
1550,1986,54,8/7/2018
1551,1009,65,9/13/2017
1552,1446,13,10/13/2017
1553,1995,41,11/7/2017
1554,1950,71,4/3/2018
1555,1913,79,12/2/2017
1556,1709,56,9/3/2018
1557,1675,43,3/28/2018
1558,1052,19,4/15/2018
1559,1839,81,2/6/2018
1560,1382,13,5/3/2018
1561,1146,64,6/27/2018
1562,1101,42,11/10/2017
1563,1763,10,10/18/2017
1564,1063,65,9/20/2017
1565,1840,5,9/19/2017
1566,1589,91,5/14/2018
1567,1824,63,5/15/2018
1568,1257,8,6/11/2018
1569,1282,11,7/25/2018
1570,1043,77,9/15/2017
1571,1910,38,5/10/2018
1572,1344,79,12/12/2017
1573,1064,56,4/23/2018
1574,1394,57,6/27/2018
1575,1952,14,4/28/2018
1576,1553,58,12/31/2017
1577,1351,100,3/18/2018
1578,1892,54,2/15/2018
1579,1072,44,6/24/2018
1580,1618,10,12/23/2017
1581,1347,68,7/26/2018
1582,1306,74,6/22/2018
1583,1802,37,9/20/2017
1584,1519,91,12/24/2017
1585,1459,98,3/18/2018
1586,1569,46,1/13/2018
1587,1858,76,11/22/2017
1588,1152,12,9/4/2018
1589,1400,58,9/22/2017
1590,1044,44,11/17/2017
1591,1731,48,4/22/2018
1592,1329,25,8/29/2018
1593,1554,16,5/31/2018
1594,1635,35,3/1/2018
1595,1864,27,8/12/2018
1596,1014,83,1/13/2018
1597,1803,92,10/20/2017
1598,1450,86,9/12/2017
1599,1897,88,11/5/2017
1600,1809,61,12/23/2017
1601,1199,41,11/30/2017
1602,1093,55,2/16/2018
1603,1092,65,7/12/2018
1604,1589,7,8/2/2018
1605,1969,81,10/3/2017
1606,1508,15,5/6/2018
1607,1601,83,4/5/2018
1608,1026,65,2/5/2018
1609,1767,31,8/13/2018
1610,1018,12,11/4/2017
1611,1432,42,3/15/2018
1612,1534,19,4/19/2018
1613,1065,16,4/25/2018
1614,1435,18,5/20/2018
1615,1486,24,11/7/2017
1616,1530,81,9/15/2017
1617,1015,17,8/16/2018
1618,1410,99,10/23/2017
1619,1399,74,7/28/2018
1620,1516,7,12/1/2017
1621,1385,91,3/8/2018
1622,1140,32,9/27/2017
1623,1259,72,12/31/2017
1624,1613,47,6/20/2018
1625,1023,48,8/4/2018
1626,1215,29,5/28/2018
1627,1828,31,5/7/2018
1628,1632,22,5/31/2018
1629,1701,91,9/28/2017
1630,1290,73,2/1/2018
1631,1440,95,6/25/2018
1632,1927,19,8/22/2018
1633,1065,20,8/30/2018
1634,1924,96,1/30/2018
1635,1529,76,12/5/2017
1636,1432,89,4/11/2018
1637,1895,84,12/27/2017
1638,1941,68,4/7/2018
1639,1221,50,6/25/2018
1640,1620,39,11/1/2017
1641,1763,67,1/19/2018
1642,1176,14,8/2/2018
1643,1113,61,12/11/2017
1644,1282,56,2/16/2018
1645,1629,15,6/22/2018
1646,1197,71,1/10/2018
1647,1128,73,6/8/2018
1648,1403,41,1/12/2018
1649,1577,15,7/4/2018
1650,1123,51,5/22/2018
1651,1586,100,2/10/2018
1652,1402,94,6/20/2018
1653,1516,58,8/24/2018
1654,1875,66,4/9/2018
1655,1594,76,6/10/2018
1656,1749,28,10/24/2017
1657,1914,59,8/9/2018
1658,1724,96,9/11/2017
1659,1799,20,7/18/2018
1660,1524,16,12/7/2017
1661,1506,7,5/10/2018
1662,1131,74,10/29/2017
1663,1540,52,5/5/2018
1664,1005,40,1/22/2018
1665,1664,82,3/18/2018
1666,1247,56,2/13/2018
1667,1720,2,12/16/2017
1668,1244,25,5/9/2018
1669,1234,90,10/14/2017
1670,1446,52,7/13/2018
1671,1321,76,6/21/2018
1672,1052,66,11/18/2017
1673,1375,88,2/2/2018
1674,1376,22,4/15/2018
1675,1540,52,9/18/2017
1676,1728,44,11/14/2017
1677,1172,28,9/15/2017
1678,1947,23,7/23/2018
1679,1352,9,1/26/2018
1680,1153,20,1/14/2018
1681,1528,5,5/2/2018
1682,1060,63,4/6/2018
1683,1587,78,10/15/2017
1684,1153,30,11/18/2017
1685,1827,74,9/22/2017
1686,1427,72,10/2/2017
1687,1273,78,4/24/2018
1688,1123,92,11/9/2017
1689,1452,44,2/19/2018
1690,1112,98,10/24/2017
1691,1860,3,6/15/2018
1692,1034,51,1/27/2018
1693,1550,67,10/3/2017
1694,1185,17,3/17/2018
1695,1886,5,3/29/2018
1696,1565,94,1/23/2018
1697,1525,75,6/7/2018
1698,1010,48,9/12/2017
1699,1540,25,3/5/2018
1700,1072,5,3/25/2018
1701,1890,30,7/13/2018
1702,1152,31,2/5/2018
1703,1639,15,1/30/2018
1704,1355,2,3/13/2018
1705,1197,60,8/28/2018
1706,1065,38,7/4/2018
1707,1227,58,11/12/2017
1708,1243,4,2/7/2018
1709,1111,6,7/16/2018
1710,1021,8,6/1/2018
1711,1976,96,2/17/2018
1712,1777,79,8/28/2018
1713,1312,71,1/4/2018
1714,1656,74,11/4/2017
1715,1373,85,1/8/2018
1716,1189,59,6/4/2018
1717,1434,75,4/16/2018
1718,1240,11,7/22/2018
1719,1549,42,8/31/2018
1720,1799,35,5/25/2018
1721,1017,25,12/13/2017
1722,1676,25,2/9/2018
1723,1491,68,1/21/2018
1724,1593,33,12/21/2017
1725,1454,29,9/1/2018
1726,1659,1,2/8/2018
1727,1903,54,3/29/2018
1728,1106,77,7/14/2018
1729,1170,42,2/22/2018
1730,1887,99,10/24/2017
1731,1665,59,3/24/2018
1732,1493,50,10/30/2017
1733,1337,18,6/9/2018
1734,1539,44,5/1/2018
1735,1474,79,3/25/2018
1736,1857,87,8/8/2018
1737,1060,30,12/5/2017
1738,1067,35,7/21/2018
1739,1478,61,3/18/2018
1740,1591,93,7/24/2018
1741,1547,4,11/3/2017
1742,1688,63,1/17/2018
1743,1328,47,9/12/2017
1744,1479,42,5/10/2018
1745,1881,6,10/12/2017
1746,1222,98,11/25/2017
1747,1249,10,12/4/2017
1748,1695,3,8/20/2018
1749,1409,89,3/29/2018
1750,1231,25,6/2/2018
1751,1536,37,4/19/2018
1752,1721,16,3/19/2018
1753,1168,53,7/5/2018
1754,1744,69,1/9/2018
1755,1034,17,1/20/2018
1756,1782,41,7/15/2018
1757,1763,23,1/21/2018
1758,1529,45,10/15/2017
1759,1779,88,7/5/2018
1760,1204,85,4/19/2018
1761,1697,83,11/29/2017
1762,1496,34,6/25/2018
1763,1246,79,2/9/2018
1764,1604,26,8/21/2018
1765,1681,29,7/7/2018
1766,1953,61,2/14/2018
1767,1739,56,1/26/2018
1768,1510,93,1/12/2018
1769,1990,62,12/17/2017
1770,1607,89,2/26/2018
1771,1868,2,5/5/2018
1772,1728,62,11/4/2017
1773,1757,41,7/22/2018
1774,1686,68,1/26/2018
1775,1033,55,8/24/2018
1776,1340,62,10/28/2017
1777,1889,6,9/8/2018
1778,1703,31,9/19/2017
1779,1845,61,3/20/2018
1780,1437,74,5/10/2018
1781,1199,52,9/9/2018
1782,1763,45,5/31/2018
1783,1180,37,10/23/2017
1784,1844,6,4/29/2018
1785,1390,5,3/6/2018
1786,1476,43,8/25/2018
1787,1280,45,12/28/2017
1788,1378,48,8/24/2018
1789,1985,15,9/17/2017
1790,1591,27,5/24/2018
1791,1973,72,6/2/2018
1792,1624,8,5/21/2018
1793,1879,47,5/5/2018
1794,1510,50,7/15/2018
1795,1071,81,7/15/2018
1796,1653,92,6/26/2018
1797,1172,78,10/22/2017
1798,1424,17,9/12/2017
1799,1485,76,9/16/2017
1800,1501,67,2/14/2018
1801,1783,48,5/7/2018
1802,1242,48,10/20/2017
1803,1618,95,1/31/2018
1804,1251,92,12/20/2017
1805,1893,83,9/4/2018
1806,1607,65,3/10/2018
1807,1364,92,10/14/2017
1808,1488,71,2/7/2018
1809,1191,58,1/23/2018
1810,1207,57,9/23/2017
1811,1960,81,1/6/2018
1812,1773,51,10/17/2017
1813,1846,100,9/29/2017
1814,1870,51,7/23/2018
1815,1239,10,9/21/2017
1816,1324,27,9/16/2017
1817,1300,36,10/8/2017
1818,1122,92,9/6/2018
1819,1553,86,5/5/2018
1820,1103,95,6/24/2018
1821,1038,74,3/3/2018
1822,1972,90,2/18/2018
1823,1862,63,6/12/2018
1824,1922,31,9/28/2017
1825,1559,65,9/17/2017
1826,1596,48,12/10/2017
1827,1329,97,11/15/2017
1828,1607,71,8/6/2018
1829,1992,86,1/23/2018
1830,1116,39,11/15/2017
1831,1214,31,2/6/2018
1832,1817,62,5/31/2018
1833,1099,81,6/16/2018
1834,1318,71,6/22/2018
1835,1703,29,5/11/2018
1836,1409,48,8/5/2018
1837,1714,66,3/15/2018
1838,1309,22,10/18/2017
1839,1741,29,5/17/2018
1840,1431,72,4/23/2018
1841,1186,15,7/1/2018
1842,1807,28,12/18/2017
1843,1795,90,6/10/2018
1844,1405,3,12/6/2017
1845,1273,76,5/11/2018
1846,1011,89,9/2/2018
1847,1762,68,4/11/2018
1848,1225,20,8/28/2018
1849,1351,42,9/20/2017
1850,1342,26,2/17/2018
1851,1305,12,7/14/2018
1852,1998,43,8/6/2018
1853,1478,20,8/22/2018
1854,1080,32,5/4/2018
1855,1807,2,7/25/2018
1856,1820,9,12/2/2017
1857,1270,22,9/10/2018
1858,1326,76,5/4/2018
1859,1425,74,4/23/2018
1860,1029,82,9/20/2017
1861,1498,50,7/3/2018
1862,1752,75,12/26/2017
1863,1907,33,6/12/2018
1864,1418,82,3/2/2018
1865,1938,19,4/15/2018
1866,1759,73,5/19/2018
1867,1383,75,8/6/2018
1868,1983,5,8/5/2018
1869,1668,25,2/7/2018
1870,1866,11,10/31/2017
1871,1169,52,12/7/2017
1872,1302,49,12/24/2017
1873,1025,36,5/6/2018
1874,1124,99,3/27/2018
1875,1742,75,2/21/2018
1876,1796,22,4/11/2018
1877,1290,23,10/12/2017
1878,1459,32,7/31/2018
1879,1348,100,9/3/2018
1880,1066,90,8/17/2018
1881,1583,75,12/11/2017
1882,1915,4,9/16/2017
1883,1585,75,8/8/2018
1884,1158,23,4/23/2018
1885,1516,24,2/1/2018
1886,1816,74,5/15/2018
1887,1713,67,5/22/2018
1888,1061,94,4/6/2018
1889,1232,56,12/26/2017
1890,1170,68,4/6/2018
1891,1134,39,10/19/2017
1892,1433,10,7/1/2018
1893,1612,14,11/20/2017
1894,1639,57,3/21/2018
1895,1028,60,9/13/2017
1896,1697,61,5/31/2018
1897,1671,86,2/21/2018
1898,1479,30,5/11/2018
1899,1636,34,6/4/2018
1900,1974,72,1/5/2018
1901,1484,55,7/12/2018
1902,1832,97,7/9/2018
1903,1678,60,6/12/2018
1904,1578,46,9/29/2017
1905,1750,10,8/17/2018
1906,1316,84,7/14/2018
1907,1338,31,8/20/2018
1908,1294,84,6/3/2018
1909,1837,10,3/19/2018
1910,1042,17,2/17/2018
1911,1201,88,4/27/2018
1912,1124,28,6/18/2018
1913,1984,69,5/17/2018
1914,1892,65,5/24/2018
1915,1221,34,10/5/2017
1916,1827,15,9/18/2017
1917,1458,76,12/11/2017
1918,1311,70,8/11/2018
1919,1099,67,12/14/2017
1920,1214,67,2/9/2018
1921,1713,10,12/24/2017
1922,1741,72,7/13/2018
1923,1646,38,1/6/2018
1924,1766,71,5/20/2018
1925,1456,31,11/22/2017
1926,1545,22,5/3/2018
1927,1069,90,6/4/2018
1928,1893,3,8/23/2018
1929,1514,59,10/30/2017
